os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 5600 OEM/5600 XT / 5700/5700 XT,16293816,7.0.11-76070011-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
60.6912,16.4769,55.8506,3,68,55,800,875,1.78481,34,6.96532,643974674
61.1891,16.3428,55.8506,3,68,55,800,875,1.78481,34,6.96532,745036843
59.9364,16.6844,55.8506,3,68,55,800,875,1.78481,34,6.96532,845121252
60.0938,16.6407,55.8506,3,68,55,800,875,1.78481,34,6.96532,945207080
60.725,16.4677,55.8506,3,68,55,800,875,1.78481,34,6.96532,1045323049
59.3386,16.8524,41.5435,7,68,55,878,875,2.07547,41,6.90042,1145420707
81.1949,12.316,41.5435,7,68,55,878,875,2.07547,41,6.90042,1245512826
59.8614,16.7052,41.5435,7,68,55,878,875,2.07547,41,6.90042,1345620935
62.5283,15.9928,41.5435,7,68,55,878,875,2.07547,41,6.90042,1445740463
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,1545832922
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,1645932751
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,1746081039
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,1846184788
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,1946277327
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2046374335
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2146460444
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2246549182
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2346636321
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2446722980
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2546815568
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2646923457
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2747011686
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2847105974
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,2947211663
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3047318472
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3147422290
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3247521339
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3347619447
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3447705226
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3547799395
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3647905543
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3747998492
50.259,19.8969,41.5435,7,68,55,878,875,2.07547,41,6.90042,3848097151
57.2739,17.46,48.4582,2,68,54,802,875,2.88694,34,7.68261,3948195829
59.2988,16.8638,48.4582,2,68,54,802,875,2.88694,34,7.68261,4048287088
59.4415,16.8233,48.4582,2,68,54,802,875,2.88694,34,7.68261,4148381677
60.4147,16.5523,48.4582,2,68,54,802,875,2.88694,34,7.68261,4248467075
59.9403,16.6833,48.4582,2,68,54,802,875,2.88694,34,7.68261,4348549584
60.3384,16.5732,42.571,40,68,56,1266,875,2.88783,72,7.68268,4448629922
60.7485,16.4613,42.571,40,68,56,1266,875,2.88783,72,7.68268,4548714221
63.9245,15.6434,42.571,40,68,56,1266,875,2.88783,72,7.68268,4648802510
58.3852,17.1276,42.571,40,68,56,1266,875,2.88783,72,7.68268,4748890068
59.9063,16.6927,42.571,40,68,56,1266,875,2.88783,72,7.68268,4848977807
60.5508,16.515,41.2621,59,69,57,1577,875,2.85447,87,7.68423,4949065006
60.6325,16.4928,41.2621,59,69,57,1577,875,2.85447,87,7.68423,5049153094
61.6238,16.2275,41.2621,59,69,57,1577,875,2.85447,87,7.68423,5149237963
61.4713,16.2677,41.2621,59,69,57,1577,875,2.85447,87,7.68423,5249318512
60.1195,16.6335,41.2621,59,69,57,1577,875,2.85447,87,7.68423,5349411890
60.5343,16.5196,36.9735,59,69,57,1615,875,2.83976,92,7.67951,5449500219
59.2361,16.8816,36.9735,59,69,57,1615,875,2.83976,92,7.67951,5549589467
60.7426,16.4629,36.9735,59,69,57,1615,875,2.83976,92,7.67951,5649672576
58.7605,17.0182,36.9735,59,69,57,1615,875,2.83976,92,7.67951,5749760565
58.8799,16.9837,36.9735,59,69,57,1615,875,2.83976,92,7.67951,5849850553
59.1354,16.9103,36.16,60,68,58,1648,875,2.83976,100,7.69907,5949933192
59.0359,16.9388,36.16,60,68,58,1648,875,2.83976,100,7.69907,6050015551
60.6837,16.4789,36.16,60,68,58,1648,875,2.83976,100,7.69907,6150115309
60.377,16.5626,36.16,60,68,58,1648,875,2.83976,100,7.69907,6250181148
62.072,16.1103,36.16,60,68,58,1648,875,2.83976,100,7.69907,6350268567
62.3446,16.0399,39.0323,60,68,58,1655,875,2.83976,104,7.71769,6450319175
59.0566,16.9329,39.0323,60,68,58,1655,875,2.83976,104,7.71769,6550410504
58.8072,17.0047,39.0323,60,68,58,1655,875,2.83976,104,7.71769,6650497192
57.214,17.4782,39.0323,60,68,58,1655,875,2.83976,104,7.71769,6750582151
58.301,17.1524,39.0323,60,68,58,1655,875,2.83976,104,7.71769,6850669130
62.0881,16.1062,41.0095,61,68,58,1661,875,2.83976,101,7.72639,6950752878
60.7497,16.461,41.0095,61,68,58,1661,875,2.83976,101,7.72639,7050842147
60.133,16.6298,41.0095,61,68,58,1661,875,2.83976,101,7.72639,7150927406
61.032,16.3848,41.0095,61,68,58,1661,875,2.83976,101,7.72639,7251018514
60.9177,16.4156,41.0095,61,68,58,1661,875,2.83976,101,7.72639,7351103413
59.4012,16.8347,36.5079,61,68,58,1673,875,2.83966,102,7.73392,7451194502
60.9241,16.4139,36.5079,61,68,58,1673,875,2.83966,102,7.73392,7551278130
60.1956,16.6125,36.5079,61,68,58,1673,875,2.83966,102,7.73392,7651388679
59.3528,16.8484,36.5079,61,68,58,1673,875,2.83966,102,7.73392,7751473967
57.4051,17.42,36.5079,61,68,58,1673,875,2.83966,102,7.73392,7851557646
60.1092,16.6364,36.5079,61,68,58,1673,875,2.83966,102,7.73392,7951639925
59.7906,16.725,41.3078,59,68,58,1645,875,2.83966,100,7.7619,8051724873
59.9624,16.6771,41.3078,59,68,58,1645,875,2.83966,100,7.7619,8151810192
60.174,16.6185,41.3078,59,68,58,1645,875,2.83966,100,7.7619,8251892181
62.8973,15.8989,41.3078,59,68,58,1645,875,2.83966,100,7.7619,8351975749
60.0531,16.6519,41.3078,59,68,58,1645,875,2.83966,100,7.7619,8452063198
59.69,16.7532,30.832,61,68,58,1662,875,2.83966,101,7.76002,8552147637
57.6896,17.3341,30.832,61,68,58,1662,875,2.83966,101,7.76002,8652235165
