os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 5600 OEM/5600 XT / 5700/5700 XT,16293816,7.0.11-76070011-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
63.2934,15.7994,54.0748,13,66,57,800,875,2.11923,35,7.76332,408607186
62.3522,16.0379,54.0748,13,66,57,800,875,2.11923,35,7.76332,508887705
58.5919,17.0672,54.0748,13,66,57,800,875,2.11923,35,7.76332,608981554
61.0496,16.3801,54.0748,13,66,57,800,875,2.11923,35,7.76332,709082832
45.6035,21.9281,54.0748,13,66,57,800,875,2.11923,35,7.76332,809180251
61.7767,16.1873,56.9728,31,66,58,998,875,2.41051,57,7.75808,909283670
60.1733,16.6187,56.9728,31,66,58,998,875,2.41051,57,7.75808,1009372728
60.5614,16.5122,56.9728,31,66,58,998,875,2.41051,57,7.75808,1109542177
65.5066,15.2656,56.9728,31,66,58,998,875,2.41051,57,7.75808,1209635366
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,1309730094
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,1409820503
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,1509924672
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,1610070230
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,1710179629
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,1810281918
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,1910389516
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2011546645
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2111641584
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2211736622
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2311866251
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2412000280
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2513003659
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2613106997
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2713196166
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2813300394
53.6975,18.6228,56.9728,31,66,58,998,875,2.41051,57,7.75808,2913409183
51.492,19.4205,64.7899,13,68,57,800,875,3.20895,36,8.38486,3013503222
61.2626,16.3232,64.7899,13,68,57,800,875,3.20895,36,8.38486,3113601050
59.0085,16.9467,64.7899,13,68,57,800,875,3.20895,36,8.38486,3213712179
58.3409,17.1406,64.7899,13,68,57,800,875,3.20895,36,8.38486,3313809778
59.0987,16.9208,64.7899,13,68,57,800,875,3.20895,36,8.38486,3413909036
59.1402,16.909,44.3686,32,68,60,990,875,3.20906,56,8.35865,3514004285
57.669,17.3403,44.3686,32,68,60,990,875,3.20906,56,8.35865,3614100284
60.5842,16.506,44.3686,32,68,60,990,875,3.20906,56,8.35865,3714185632
62.1899,16.0798,44.3686,32,68,60,990,875,3.20906,56,8.35865,3814276721
61.1354,16.3571,44.3686,32,68,60,990,875,3.20906,56,8.35865,3914364259
59.6802,16.756,25.0865,71,68,62,1489,875,3.20906,101,8.36261,4014455488
60.2046,16.61,25.0865,71,68,62,1489,875,3.20906,101,8.36261,4114542107
59.5688,16.7873,25.0865,71,68,62,1489,875,3.20906,101,8.36261,4214626405
61.6353,16.2245,25.0865,71,68,62,1489,875,3.20906,101,8.36261,4314710964
57.8686,17.2805,25.0865,71,68,62,1489,875,3.20906,101,8.36261,4414795633
59.7406,16.739,25.8278,71,67,61,1585,875,3.18206,101,8.38482,4514878841
59.868,16.7034,25.8278,71,67,61,1585,875,3.18206,101,8.38482,4614962470
60.7728,16.4547,25.8278,71,67,61,1585,875,3.18206,101,8.38482,4715003679
