os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 5600 OEM/5600 XT / 5700/5700 XT,16293816,7.0.11-76070011-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
58.9455,16.9648,46.6591,30,65,52,807,875,2.09943,39,6.92855,243810850
61.8027,16.1805,46.6591,30,65,52,807,875,2.09943,39,6.92855,344537979
59.4692,16.8154,46.6591,30,65,52,807,875,2.09943,39,6.92855,444634697
58.7299,17.0271,46.6591,30,65,52,807,875,2.09943,39,6.92855,544747606
56.9492,17.5595,46.6591,30,65,52,807,875,2.09943,39,6.92855,644852204
59.6146,16.7744,50.3356,50,65,53,1158,875,2.45173,67,7.07056,744998783
60.0928,16.6409,50.3356,50,65,53,1158,875,2.45173,67,7.07056,845085292
60.7791,16.453,50.3356,50,65,53,1158,875,2.45173,67,7.07056,945178070
60.1169,16.6342,50.3356,50,65,53,1158,875,2.45173,67,7.07056,1045283139
60.2622,16.5942,50.3356,50,65,53,1158,875,2.45173,67,7.07056,1145382558
60.6923,16.4765,33.7748,58,65,52,1258,875,2.45135,57,7.09894,1245477796
59.8624,16.705,33.7748,58,65,52,1258,875,2.45135,57,7.09894,1345565885
60.6122,16.4983,33.7748,58,65,52,1258,875,2.45135,57,7.09894,1445647844
60.751,16.4606,33.7748,58,65,52,1258,875,2.45135,57,7.09894,1545689112
60.4592,16.5401,33.7748,58,65,52,1258,875,2.45135,57,7.09894,1645783431
60.2654,16.5933,32.2259,58,64,52,1196,875,2.44758,56,7.09096,1745872729
59.9144,16.6905,32.2259,58,64,52,1196,875,2.44758,56,7.09096,1845961068
61.2454,16.3278,32.2259,58,64,52,1196,875,2.44758,56,7.09096,1946004007
59.7506,16.7362,32.2259,58,64,52,1196,875,2.44758,56,7.09096,2046092955
59.8073,16.7204,32.2259,58,64,52,1196,875,2.44758,56,7.09096,2146177014
