os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 5600 OEM/5600 XT / 5700/5700 XT,16293816,7.0.11-76070011-generic,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
58.0988,17.2121,46.5368,1,74,57,800,875,1.87548,34,6.29877,266052546
63.4877,15.7511,46.5368,1,74,57,800,875,1.87548,34,6.29877,366815525
51.4242,19.4461,46.5368,1,74,57,800,875,1.87548,34,6.29877,468405344
60.1163,16.6344,46.5368,1,74,57,800,875,1.87548,34,6.29877,568507673
61.4807,16.2653,46.5368,1,74,57,800,875,1.87548,34,6.29877,668600811
60.8603,16.4311,50.4174,28,73,59,1057,875,2.13757,58,5.9437,768690930
60.9486,16.4073,50.4174,28,73,59,1057,875,2.13757,58,5.9437,868781389
60.9622,16.4036,50.4174,28,73,59,1057,875,2.13757,58,5.9437,968880257
59.0612,16.9316,50.4174,28,73,59,1057,875,2.13757,58,5.9437,1068983306
61.1983,16.3403,50.4174,28,73,59,1057,875,2.13757,58,5.9437,1169098035
58.6445,17.0519,32.1429,41,72,59,1030,875,2.17987,48,5.92088,1269185203
60.4005,16.5562,32.1429,41,72,59,1030,875,2.17987,48,5.92088,1369279172
59.4045,16.8337,32.1429,41,72,59,1030,875,2.17987,48,5.92088,1469372280
59.5497,16.7927,32.1429,41,72,59,1030,875,2.17987,48,5.92088,1569457769
60.2939,16.5854,32.1429,41,72,59,1030,875,2.17987,48,5.92088,1669543478
60.6694,16.4828,20.0675,42,72,59,1029,875,2.17987,48,5.94638,1769636596
58.8542,16.9911,20.0675,42,72,59,1029,875,2.17987,48,5.94638,1869723305
59.8822,16.6995,20.0675,42,72,59,1029,875,2.17987,48,5.94638,1969807664
59.7675,16.7315,20.0675,42,72,59,1029,875,2.17987,48,5.94638,2069891622
59.8699,16.7029,20.0675,42,72,59,1029,875,2.17987,48,5.94638,2169975011
58.211,17.1789,15.7377,41,71,59,1042,875,2.17987,47,5.96302,2270058830
60.5938,16.5033,15.7377,41,71,59,1042,875,2.17987,47,5.96302,2370141828
60.0872,16.6425,15.7377,41,71,59,1042,875,2.17987,47,5.96302,2470225237
60.1532,16.6242,15.7377,41,71,59,1042,875,2.17987,47,5.96302,2570309855
60.2851,16.5878,15.7377,41,71,59,1042,875,2.17987,47,5.96302,2670395484
59.0331,16.9396,17.2819,39,70,59,997,875,2.17987,47,5.96685,2770480923
59.4616,16.8176,17.2819,39,70,59,997,875,2.17987,47,5.96685,2870563851
60.0621,16.6494,17.2819,39,70,59,997,875,2.17987,47,5.96685,2970646950
60.2478,16.5981,17.2819,39,70,59,997,875,2.17987,47,5.96685,3070731029
60.6566,16.4863,17.2819,39,70,59,997,875,2.17987,47,5.96685,3170814177
57.2523,17.4666,16.8026,39,69,59,1001,875,2.16511,47,5.96078,3270898556
59.9989,16.667,16.8026,39,69,59,1001,875,2.16511,47,5.96078,3370982894
59.8861,16.6984,16.8026,39,69,59,1001,875,2.16511,47,5.96078,3471072613
59.6712,16.7585,16.8026,39,69,59,1001,875,2.16511,47,5.96078,3571157052
60.8522,16.4333,16.8026,39,69,59,1001,875,2.16511,47,5.96078,3671240840
58.8935,16.9798,17.0772,39,68,58,989,875,2.16511,47,5.96538,3771314759
59.8229,16.716,17.0772,39,68,58,989,875,2.16511,47,5.96538,3871398868
59.69,16.7532,17.0772,39,68,58,989,875,2.16511,47,5.96538,3971485376
60.0898,16.6418,17.0772,39,68,58,989,875,2.16511,47,5.96538,4071579715
